date,all_tests,pcr_tests,sero_tests,positivity_pcr
2020-04-01,1921,1921,0,0.0801665799062988
2020-03-31,1892,1892,0,0.0798097251585624
2020-03-30,2020,2020,0,0.0876237623762376
2020-03-29,602,602,0,0.1212624584717608
2020-03-28,1014,1014,0,0.1035502958579882
2020-03-27,2029,2029,0,0.0601281419418433
2020-03-26,2078,2078,0,0.0712223291626564
2020-03-25,2355,2355,0,0.0645435244161359
2020-03-24,2221,2221,0,0.0612336785231878
2020-03-23,2195,2195,0,0.0656036446469248
2020-03-22,582,582,0,0.0807560137457045
2020-03-21,667,667,0,0.0674662668665667
2020-03-20,1687,1687,0,0.0574985180794309
2020-03-19,1487,1487,0,0.0437121721587088
2020-03-18,1305,1305,0,0.0421455938697318
2020-03-17,1226,1226,0,0.0587275693311582
2020-03-16,925,925,0,0.0454054054054054
2020-03-15,256,256,0,0.0625
2020-03-14,211,211,0,0.0568720379146919
2020-03-13,408,408,0,0.017156862745098
2020-03-12,289,289,0,0.0242214532871972
2020-03-11,94,94,0,0.0319148936170213
2020-03-10,45,45,0,0.0
2020-03-09,44,44,0,0.0227272727272727
2020-03-08,7,7,0,0.0
2020-03-07,3,3,0,0.0
2020-03-06,20,20,0,0.1
2020-03-05,8,8,0,0.125
2020-03-04,11,11,0,0.0909090909090909
2020-03-03,1,1,0,0.0
2020-03-02,5,5,0,0.4
2020-03-01,3,3,0,0.0
