date,all_tests,pcr_tests,sero_tests,positivity_pcr
2020-04-07,1716,1716,0,0.0973193473193473
2020-04-06,2150,2150,0,0.0990697674418605
2020-04-05,662,662,0,0.1148036253776435
2020-04-04,875,875,0,0.1268571428571429
2020-04-03,1833,1833,0,0.0960174577195854
2020-04-02,1957,1957,0,0.0735820132856413
2020-04-01,1914,1914,0,0.0804597701149425
2020-03-31,1885,1885,0,0.080106100795756
2020-03-30,2009,2009,0,0.0876057740169239
2020-03-29,602,602,0,0.1212624584717608
2020-03-28,1012,1012,0,0.1037549407114625
2020-03-27,2014,2014,0,0.0605759682224429
2020-03-26,2068,2068,0,0.0710831721470019
2020-03-25,2345,2345,0,0.064818763326226
2020-03-24,2215,2215,0,0.0613995485327314
2020-03-23,2188,2188,0,0.0658135283363803
2020-03-22,578,578,0,0.0813148788927336
2020-03-21,663,663,0,0.0678733031674208
2020-03-20,1683,1683,0,0.0576351752822341
2020-03-19,1484,1484,0,0.043800539083558
2020-03-18,1301,1301,0,0.0422751729438893
2020-03-17,1222,1222,0,0.0589198036006547
2020-03-16,919,919,0,0.0457018498367791
2020-03-15,256,256,0,0.0625
2020-03-14,211,211,0,0.0568720379146919
2020-03-13,407,407,0,0.0171990171990172
2020-03-12,289,289,0,0.0242214532871972
2020-03-11,94,94,0,0.0319148936170213
2020-03-10,45,45,0,0.0
2020-03-09,44,44,0,0.0227272727272727
2020-03-08,7,7,0,0.0
2020-03-07,3,3,0,0.0
2020-03-06,20,20,0,0.1
2020-03-05,8,8,0,0.125
2020-03-04,11,11,0,0.0909090909090909
2020-03-03,1,1,0,0.0
2020-03-02,5,5,0,0.4
2020-03-01,3,3,0,0.0
