date,all_tests,pcr_tests,sero_tests,positivity_pcr
2020-07-25,14,14,0,0.1428571428571429
2020-07-24,1208,452,756,0.1150442477876106
2020-07-23,3716,2234,1482,0.1230975828111012
2020-07-22,5152,3692,1460,0.1237811484290358
2020-07-21,8425,6311,2114,0.1199492948819522
2020-07-20,9104,6958,2146,0.1251796493245185
2020-07-19,3302,2908,394,0.1482118294360385
2020-07-18,5044,4473,571,0.139950816007154
2020-07-17,13378,11126,2252,0.11495595901492
2020-07-16,11592,9800,1792,0.131734693877551
2020-07-15,13159,11392,1767,0.1387816011235955
2020-07-14,13656,11271,2385,0.1548221098394109
2020-07-13,14540,12123,2417,0.1668728862492782
2020-07-12,6344,5861,483,0.1910936700221805
2020-07-11,9946,9223,723,0.1865987205898298
2020-07-10,19757,17269,2488,0.179917771729689
2020-07-09,21406,19098,2308,0.1808042726987119
2020-07-08,20815,18587,2228,0.1968042180018292
2020-07-07,21940,19148,2792,0.1989763944015041
2020-07-06,21133,18833,2300,0.2042160038230765
2020-07-05,7072,6664,408,0.2496998799519808
2020-07-04,6937,6405,532,0.2202966432474629
2020-07-03,14600,13745,855,0.2007275372862859
2020-07-02,23338,20705,2633,0.1924172905095388
2020-07-01,22896,20126,2770,0.2063996820033787
2020-06-30,23167,23167,0,0.2113338889161234
2020-06-29,23614,20124,3490,0.2221228384019082
2020-06-28,8018,7501,517,0.2431675776563125
2020-06-27,12220,11371,849,0.2326092691935626
2020-06-26,22751,19115,3636,0.1983259220507455
2020-06-25,21811,18409,3402,0.2015861806724972
2020-06-24,21822,18396,3426,0.1948793215916504
2020-06-23,21784,18227,3557,0.1789652713008175
2020-06-22,19564,16706,2858,0.1998084520531546
2020-06-21,6844,6190,654,0.2353796445880452
2020-06-20,11010,10193,817,0.207299126851761
2020-06-19,20399,17028,3371,0.1708949964763918
2020-06-18,18996,15979,3017,0.1737280180236561
2020-06-17,16454,13750,2704,0.1915636363636364
2020-06-16,17224,13653,3571,0.1720500988793672
