date,all_tests,pcr_tests,sero_tests,positivity_pcr
2020-07-26,19,19,0,0.1578947368421053
2020-07-25,529,337,192,0.1097922848664689
2020-07-24,3827,2355,1472,0.1214437367303609
2020-07-23,4699,3192,1507,0.1193609022556391
2020-07-22,8002,6540,1462,0.1143730886850153
2020-07-21,9460,7342,2118,0.1227186052846636
2020-07-20,9435,7287,2148,0.1265266913681899
2020-07-19,3454,3060,394,0.1486928104575164
2020-07-18,5176,4605,571,0.1389793702497286
2020-07-17,13481,11229,2252,0.1153263870335738
2020-07-16,11600,9808,1792,0.1315252854812398
2020-07-15,13182,11416,1766,0.1387526278906798
2020-07-14,14891,12507,2384,0.1599904053729911
2020-07-13,16392,13976,2416,0.1741556954779622
2020-07-12,6827,6344,483,0.1967213114754098
2020-07-11,10474,9756,718,0.1878843788437885
2020-07-10,19793,17305,2488,0.1800635654435134
2020-07-09,21413,19105,2308,0.1806856843758179
2020-07-08,20812,18585,2227,0.1968253968253968
2020-07-07,21920,19129,2791,0.1989649223691777
2020-07-06,21104,18804,2300,0.2036800680706233
2020-07-05,7067,6659,408,0.2494368523802373
2020-07-04,6934,6402,532,0.2200874726647923
2020-07-03,14585,13730,855,0.2004369992716679
2020-07-02,23316,20683,2633,0.1921384712082387
2020-07-01,22880,20111,2769,0.2059072149569887
2020-06-30,23135,20368,2767,0.2107227022780833
2020-06-29,23591,20101,3490,0.2216805134072932
2020-06-28,8007,7490,517,0.2425901201602136
2020-06-27,12198,11350,848,0.2319823788546256
2020-06-26,22718,19085,3633,0.1979565103484412
2020-06-25,21778,18376,3402,0.2014040052242055
2020-06-24,21793,18367,3426,0.1946425654706811
2020-06-23,21716,18159,3557,0.1793600969216367
2020-06-22,19545,16687,2858,0.1998561754659316
2020-06-21,6838,6184,654,0.2352846054333765
2020-06-20,11003,10186,817,0.2074415864912625
2020-06-19,20376,17005,3371,0.1708321082034696
2020-06-18,18980,15964,3016,0.173640691556001
2020-06-17,16442,13738,2704,0.191730965205998
2020-06-16,17206,13636,3570,0.1718979172777941
