date,all_tests,pcr_tests,sero_tests,positivity_pcr
2020-07-27,16,16,0,0.125
2020-07-26,450,446,4,0.0919282511210762
2020-07-25,2648,2292,356,0.1034031413612565
2020-07-24,7537,5789,1748,0.1079633788219036
2020-07-23,7596,5996,1600,0.1202468312208139
2020-07-22,9346,7874,1472,0.1099822199644399
2020-07-21,9874,7756,2118,0.1220990201134606
2020-07-20,9611,7463,2148,0.1259547099021841
2020-07-19,3525,3131,394,0.1462791440434366
2020-07-18,5220,4649,571,0.1383093138309314
2020-07-17,13502,11250,2252,0.1145777777777778
2020-07-16,11626,9834,1792,0.1311775472849298
2020-07-15,13463,11697,1766,0.1409763187142002
2020-07-14,16374,13990,2384,0.1663330950679057
2020-07-13,16883,14467,2416,0.1757102370913113
2020-07-12,7118,6635,483,0.198492840994725
2020-07-11,10674,9957,717,0.188611027417897
2020-07-10,19800,17312,2488,0.1798752310536044
2020-07-09,21394,19086,2308,0.1801844283768207
2020-07-08,20797,18570,2227,0.1967151319332256
2020-07-07,21896,19105,2791,0.1983250457995289
2020-07-06,21074,18774,2300,0.2029402364972835
2020-07-05,7057,6649,408,0.2492104075800872
2020-07-04,6920,6388,532,0.2191609267376331
2020-07-03,14564,13709,855,0.2000875337369611
2020-07-02,23280,20647,2633,0.1916985518477261
2020-07-01,22833,20064,2769,0.205293062200957
2020-06-30,23109,20342,2767,0.2101071674368302
2020-06-29,23563,20073,3490,0.2211926468390375
2020-06-28,7993,7476,517,0.2415730337078652
2020-06-27,12181,11333,848,0.2315362216535781
2020-06-26,22691,19058,3633,0.1975023612131388
2020-06-25,21752,18350,3402,0.2009809264305177
2020-06-24,21772,18346,3426,0.1942657800065409
2020-06-23,21692,18136,3556,0.1790913101014557
2020-06-22,19530,16672,2858,0.1994361804222649
2020-06-21,6835,6181,654,0.2350752305452193
2020-06-20,10989,10172,817,0.2073338576484467
2020-06-19,20364,16993,3371,0.1707173542046725
2020-06-18,18948,15932,3016,0.1736756213909114
2020-06-17,16430,13727,2703,0.1915203613316821
2020-06-16,17201,13631,3570,0.1719609713153841
2020-06-15,15872,13170,2702,0.1710706150341686
2020-06-14,5250,4617,633,0.1810699588477366
2020-06-13,8464,7631,833,0.1702267068536234
2020-06-12,16087,13119,2968,0.1375867063038341
2020-06-11,14864,11499,3365,0.1400991390555701
2020-06-10,14795,11545,3250,0.1365959289735816
2020-06-09,15250,15250,0,0.13053982005998
2020-06-08,14189,10973,3216,0.131960266107719
2020-06-07,4263,3654,609,0.1554460864805692
2020-06-06,5704,4700,1004,0.1414893617021277
2020-06-05,13670,10393,3277,0.1047820648513423
2020-06-04,11849,8655,3194,0.1175043327556326
2020-06-03,11441,8297,3144,0.1259491382427384
2020-06-02,12175,8481,3694,0.1177927131234524
2020-06-01,12196,8220,3976,0.1088807785888078
2020-05-31,3239,2519,720,0.1167129813418023
2020-05-30,9489,7657,1832,0.0792738670497584
2020-05-29,12419,8776,3643,0.0814721969006381
2020-05-28,10913,7282,3631,0.0840428453721505
2020-05-27,9815,6103,3712,0.100442405374406
2020-05-26,10447,6540,3907,0.0850152905198777
2020-05-25,2685,2163,522,0.0933888118354138
2020-05-24,3178,2523,655,0.0836305984938565
2020-05-23,6795,4667,2128,0.0550674951789158
2020-05-22,9884,5908,3976,0.0624576844955992
2020-05-21,9795,5672,4123,0.0639985895627645
2020-05-20,9243,4832,4411,0.0736754966887417
2020-05-19,10213,5726,4487,0.0499476074048201
2020-05-18,10843,6210,4633,0.0613526570048309
2020-05-17,3832,2624,1208,0.0362042682926829
2020-05-16,12004,10302,1702,0.0363036303630363
2020-05-15,11768,7246,4522,0.0545128346674027
2020-05-14,9417,5613,3804,0.0611081418136469
2020-05-13,9726,5865,3861,0.0451832907075874
2020-05-12,10295,6408,3887,0.049625468164794
2020-05-11,10361,6156,4205,0.0549057829759584
2020-05-10,2093,1648,445,0.0618932038834952
2020-05-09,10090,9129,961,0.0329718479570599
2020-05-08,10803,5771,5032,0.0424536475480853
2020-05-07,10068,5731,4337,0.0493805618565695
2020-05-06,8659,4374,4285,0.0651577503429355
2020-05-05,8704,4483,4221,0.0613428507695739
2020-05-04,8555,4353,4202,0.0714449804732369
2020-05-03,1543,1158,385,0.0682210708117444
2020-05-02,5579,5098,481,0.0398195370733621
2020-05-01,7557,3864,3693,0.0610766045548654
2020-04-30,6368,3336,3032,0.0749400479616307
2020-04-29,5777,3043,2734,0.076569175156096
2020-04-28,4938,3109,1829,0.076873592795111
2020-04-27,3928,2791,1137,0.1035471157291294
2020-04-26,669,663,6,0.1116138763197587
2020-04-25,899,879,20,0.1114903299203641
2020-04-24,2544,2394,150,0.0910609857978279
2020-04-23,2095,2070,25,0.0632850241545894
2020-04-22,1979,1974,5,0.0805471124620061
2020-04-21,1940,1935,5,0.0904392764857881
2020-04-20,2143,2134,9,0.1302717900656045
2020-04-19,691,689,2,0.146589259796807
2020-04-18,717,713,4,0.1416549789621318
2020-04-17,1971,1956,15,0.093558282208589
2020-04-16,1798,1794,4,0.10479375696767
2020-04-15,1749,1742,7,0.1027554535017222
2020-04-14,1714,1710,4,0.1070175438596491
2020-04-13,1821,1816,5,0.1216960352422908
2020-04-12,664,664,0,0.125
2020-04-11,645,644,1,0.1118012422360249
2020-04-10,1552,1548,4,0.1085271317829457
2020-04-09,1695,1689,6,0.1059798697454115
2020-04-08,1544,1544,0,0.1152849740932643
2020-04-07,1716,1716,0,0.0973193473193473
2020-04-06,2155,2155,0,0.0988399071925754
2020-04-05,662,662,0,0.1148036253776435
2020-04-04,877,877,0,0.1265678449258837
2020-04-03,1835,1835,0,0.0964577656675749
2020-04-02,1962,1962,0,0.073394495412844
2020-04-01,1917,1917,0,0.0803338549817423
2020-03-31,1889,1889,0,0.0799364743250397
2020-03-30,2016,2016,0,0.087797619047619
2020-03-29,602,602,0,0.1212624584717608
2020-03-28,1012,1012,0,0.1037549407114625
2020-03-27,2020,2020,0,0.0603960396039604
2020-03-26,2072,2072,0,0.0709459459459459
2020-03-25,2350,2350,0,0.0646808510638298
2020-03-24,2218,2218,0,0.0613165013525699
2020-03-23,2191,2191,0,0.0657234139662255
2020-03-22,579,579,0,0.0811744386873921
2020-03-21,665,665,0,0.0676691729323308
2020-03-20,1684,1684,0,0.0576009501187648
2020-03-19,1485,1485,0,0.0437710437710438
2020-03-18,1301,1301,0,0.0422751729438893
2020-03-17,1222,1222,0,0.0589198036006547
2020-03-16,921,921,0,0.0456026058631922
2020-03-15,256,256,0,0.0625
2020-03-14,211,211,0,0.0568720379146919
2020-03-13,407,407,0,0.0171990171990172
2020-03-12,289,289,0,0.0242214532871972
2020-03-11,94,94,0,0.0319148936170213
2020-03-10,45,45,0,0.0
2020-03-09,44,44,0,0.0227272727272727
2020-03-08,7,7,0,0.0
2020-03-07,3,3,0,0.0
2020-03-06,20,20,0,0.1
2020-03-05,8,8,0,0.125
2020-03-04,11,11,0,0.0909090909090909
2020-03-03,1,1,0,0.0
2020-03-02,5,5,0,0.4
2020-03-01,3,3,0,0.0
