date,all_tests,pcr_tests,sero_tests,positivity_pcr
2020-07-23,28,16,12,0.0
2020-07-22,1106,586,520,0.1484641638225256
2020-07-21,4868,2978,1890,0.1329751511081263
2020-07-20,5599,3553,2046,0.128623698283141
2020-07-19,2424,2033,391,0.1593703885882932
2020-07-18,3376,2804,572,0.1540656205420827
2020-07-17,9581,7331,2250,0.1245396262447142
2020-07-16,10064,8275,1789,0.1345015105740181
2020-07-15,12960,11194,1766,0.1398070394854386
2020-07-14,13568,11183,2385,0.1554144683895198
2020-07-13,13751,11336,2415,0.1609033168666196
2020-07-12,4784,4301,483,0.1855382469193211
2020-07-11,6858,6135,723,0.1721271393643032
2020-07-10,16338,13849,2489,0.1693263051483862
2020-07-09,19422,17114,2308,0.1709711347434849
2020-07-08,20287,18059,2228,0.1933108145523008
2020-07-07,21916,19124,2792,0.1994875549048317
2020-07-06,21176,18875,2301,0.2047152317880795
2020-07-05,7090,6682,408,0.2497755163124813
2020-07-04,6955,6423,532,0.2207691110073175
2020-07-03,14647,13792,855,0.2014936194895592
2020-07-02,23408,20774,2634,0.192981611629922
2020-07-01,22957,20186,2771,0.2070742098484098
2020-06-30,23228,20460,2768,0.2124144672531769
2020-06-29,23676,20186,3490,0.2229267809372833
2020-06-28,8050,7533,517,0.2450550909332272
2020-06-27,12260,11409,851,0.2336751687264441
2020-06-26,22825,19186,3639,0.1993641196705932
2020-06-25,21870,18467,3403,0.2027400227432718
2020-06-24,21882,18454,3428,0.195621545464398
2020-06-23,21846,18288,3558,0.1796806649168854
2020-06-22,19609,16751,2858,0.2003462479851949
2020-06-21,6858,6204,654,0.2359767891682785
2020-06-20,11035,10218,817,0.2079663339205324
2020-06-19,20437,17065,3372,0.1710518605332552
2020-06-18,19038,16020,3018,0.1740948813982522
2020-06-17,16505,13800,2705,0.1918840579710145
2020-06-16,17251,13680,3571,0.1724415204678363
2020-06-15,15925,13222,2703,0.1713054000907578
2020-06-14,5265,4632,633,0.1819948186528498
2020-06-13,8492,7659,833,0.1703877790834313
2020-06-12,16132,13161,2971,0.1374515614315022
2020-06-11,14928,11562,3366,0.1402006573257222
2020-06-10,14845,11592,3253,0.1363008971704624
2020-06-09,15285,12038,3247,0.1306695464362851
2020-06-08,14236,11020,3216,0.1322141560798548
2020-06-07,4285,3676,609,0.1550598476605006
2020-06-06,5723,4718,1005,0.1415854175498093
2020-06-05,13714,10437,3277,0.104531953626521
2020-06-04,11882,8688,3194,0.1174033149171271
2020-06-03,11488,8342,3146,0.1258690961400144
2020-06-02,12211,8517,3694,0.1174122343548198
2020-06-01,12232,8255,3977,0.1085402786190188
2020-05-31,3249,2528,721,0.1170886075949367
2020-05-30,9520,7686,1834,0.0792349726775956
2020-05-29,12453,8810,3643,0.0813847900113507
2020-05-28,10944,7312,3632,0.0841083150984683
2020-05-27,9836,6122,3714,0.1001306762495916
2020-05-26,10471,6561,3910,0.0850480109739369
2020-05-25,2692,2170,522,0.0935483870967742
2020-05-24,3193,2538,655,0.0839243498817967
2020-05-23,6817,4688,2129,0.0550341296928328
2020-05-22,9908,5929,3979,0.0624051273401923
2020-05-21,9813,5690,4123,0.0641476274165202
2020-05-20,9257,4844,4413,0.0734929810074319
